Row,Tuned Model,Tuned Model Without Outliers,Tuned Model on 10 Variables Selected by F-tests,Tuned Model on 10 Variables Selected by MRMR
PCA Classifier,0.995,0.995,0.945,0.935
PLS Classifier,0.895,0.94,0.935,0.955
